open,high,low,close,volume,vwap,timestamp,transactions,otc
287.345,287.385,287.32,287.385,1564,287.3492,2024-03-20 16:24:00,79,
287.3783,287.3783,287.34,287.355,4691,287.3549,2024-03-20 16:25:00,89,
287.37,287.37,287.3601,287.3601,769,287.3703,2024-03-20 16:26:00,55,
287.42,287.435,287.4,287.435,2278,287.402,2024-03-20 16:27:00,94,
287.41,287.41,287.325,287.345,4188,287.3859,2024-03-20 16:28:00,111,
287.32,287.3664,287.32,287.3664,1548,287.3447,2024-03-20 16:29:00,84,
287.37,287.37,287.27,287.305,5371,287.3279,2024-03-20 16:30:00,113,
287.3,287.3,287.24,287.25,3384,287.2648,2024-03-20 16:31:00,83,
287.26,287.27,287.2103,287.27,2676,287.2584,2024-03-20 16:32:00,94,
287.285,287.4698,287.285,287.4698,8356,287.3542,2024-03-20 16:33:00,185,
287.44,287.5,287.4122,287.5,3342,287.4384,2024-03-20 16:34:00,90,
287.54,287.54,287.52,287.522,1899,287.529,2024-03-20 16:35:00,67,
287.52,287.554,287.52,287.54,3565,287.5276,2024-03-20 16:36:00,64,
287.53,287.58,287.51,287.51,5159,287.5374,2024-03-20 16:37:00,98,
287.5204,287.68,287.5204,287.675,2947,287.6248,2024-03-20 16:38:00,105,
287.66,287.69,287.62,287.665,6646,287.6549,2024-03-20 16:39:00,128,
287.68,287.69,287.67,287.69,3754,287.6804,2024-03-20 16:40:00,109,
287.68,287.76,287.68,287.75,3550,287.7423,2024-03-20 16:41:00,92,
287.74,287.75,287.705,287.71,1849,287.7271,2024-03-20 16:42:00,91,
287.75,287.75,287.75,287.75,1031,287.7391,2024-03-20 16:43:00,67,
287.75,287.75,287.7385,287.75,2115,287.7537,2024-03-20 16:44:00,88,
287.7653,287.8,287.69,287.69,2377,287.7495,2024-03-20 16:45:00,82,
287.705,287.72,287.705,287.72,606,287.7104,2024-03-20 16:46:00,37,
287.72,287.73,287.7,287.72,2176,287.7188,2024-03-20 16:47:00,91,
287.7289,287.74,287.7289,287.74,1592,287.7344,2024-03-20 16:48:00,48,
287.7492,287.77,287.73,287.73,3169,287.7467,2024-03-20 16:49:00,101,
287.72,287.8,287.72,287.8,1881,287.7651,2024-03-20 16:50:00,77,
287.8,287.88,287.8,287.88,6965,287.8224,2024-03-20 16:51:00,151,
287.84,287.86,287.833,287.833,1829,287.8438,2024-03-20 16:52:00,58,
287.88,287.99,287.88,287.98,6784,287.9176,2024-03-20 16:53:00,151,
287.98,287.98,287.89,287.95,6358,287.946,2024-03-20 16:54:00,145,
287.86,287.9,287.83,287.845,2989,287.8545,2024-03-20 16:55:00,71,
287.85,287.85,287.82,287.82,1193,287.8428,2024-03-20 16:56:00,54,
287.84,287.86,287.83,287.84,1544,287.8368,2024-03-20 16:57:00,69,
287.84,287.845,287.835,287.84,2973,287.8448,2024-03-20 16:58:00,71,
287.86,287.8667,287.82,287.82,3389,287.8389,2024-03-20 16:59:00,105,
287.83,287.83,287.72,287.72,2522,287.7571,2024-03-20 17:00:00,82,
287.74,287.74,287.72,287.73,1324,287.7389,2024-03-20 17:01:00,85,
287.72,287.778,287.72,287.767,1915,287.7573,2024-03-20 17:02:00,54,
287.74,287.74,287.72,287.73,1754,287.7336,2024-03-20 17:03:00,75,
287.77,287.85,287.76,287.85,2976,287.8074,2024-03-20 17:05:00,112,
287.85,287.85,287.75,287.7575,13242,287.7694,2024-03-20 17:06:00,82,
287.75,287.75,287.72,287.72,937,287.733,2024-03-20 17:07:00,64,
287.729,287.73,287.69,287.71,3304,287.7112,2024-03-20 17:08:00,98,
287.73,287.73,287.63,287.64,4430,287.6821,2024-03-20 17:09:00,116,
287.65,287.67,287.6341,287.67,1665,287.6537,2024-03-20 17:10:00,60,
287.64,287.65,287.61,287.65,1955,287.634,2024-03-20 17:11:00,77,
287.63,287.63,287.55,287.55,3250,287.5968,2024-03-20 17:12:00,60,
287.51,287.51,287.4644,287.485,2281,287.4955,2024-03-20 17:13:00,68,
287.49,287.5,287.48,287.5,1205,287.4917,2024-03-20 17:14:00,79,
287.48,287.51,287.48,287.51,967,287.4859,2024-03-20 17:15:00,75,
287.51,287.5624,287.49,287.545,4323,287.5349,2024-03-20 17:16:00,132,
287.555,287.6,287.545,287.6,4700,287.5886,2024-03-20 17:17:00,97,
287.56,287.56,287.4914,287.4914,1667,287.5255,2024-03-20 17:18:00,72,
287.52,287.54,287.52,287.54,720,287.5258,2024-03-20 17:19:00,57,
287.54,287.56,287.52,287.56,1872,287.5424,2024-03-20 17:20:00,98,
287.54,287.56,287.54,287.54,1320,287.5507,2024-03-20 17:21:00,57,
287.575,287.575,287.55,287.57,1183,287.5605,2024-03-20 17:22:00,65,
287.555,287.555,287.5241,287.54,3276,287.5418,2024-03-20 17:23:00,87,
287.53,287.61,287.53,287.58,4835,287.5708,2024-03-20 17:24:00,157,
287.6,287.608,287.595,287.608,2730,287.6061,2024-03-20 17:25:00,66,
287.62,287.635,287.5907,287.635,1438,287.6179,2024-03-20 17:26:00,79,
287.65,287.65,287.61,287.6264,1736,287.6285,2024-03-20 17:28:00,43,
287.625,287.65,287.54,287.54,5231,287.6016,2024-03-20 17:29:00,103,
287.51,287.555,287.51,287.555,1500,287.533,2024-03-20 17:30:00,114,
287.55,287.56,287.54,287.56,1837,287.5497,2024-03-20 17:31:00,98,
287.57,287.635,287.57,287.58,3313,287.5862,2024-03-20 17:32:00,118,
287.6098,287.66,287.6098,287.66,1779,287.6286,2024-03-20 17:33:00,86,
287.735,287.735,287.7001,287.7199,1564,287.7248,2024-03-20 17:34:00,69,
287.69,287.72,287.69,287.72,1960,287.6962,2024-03-20 17:35:00,72,
287.67,287.67,287.65,287.659,2669,287.6601,2024-03-20 17:36:00,92,
287.58,287.58,287.56,287.58,1541,287.5744,2024-03-20 17:37:00,59,
287.545,287.545,287.48,287.5,2010,287.5047,2024-03-20 17:38:00,88,
287.499,287.52,287.46,287.46,4158,287.4786,2024-03-20 17:39:00,115,
287.45,287.4573,287.41,287.44,3869,287.4394,2024-03-20 17:40:00,100,
287.4,287.42,287.385,287.42,2910,287.4,2024-03-20 17:41:00,99,
287.435,287.435,287.3,287.3,7820,287.3281,2024-03-20 17:42:00,144,
287.26,287.3204,287.26,287.3001,3407,287.285,2024-03-20 17:43:00,81,
287.29,287.41,287.29,287.41,2356,287.3545,2024-03-20 17:44:00,98,
287.39,287.39,287.325,287.325,1677,287.373,2024-03-20 17:45:00,49,
287.34,287.34,287.34,287.34,1194,287.3472,2024-03-20 17:46:00,52,
287.33,287.4,287.33,287.4,4296,287.3663,2024-03-20 17:47:00,136,
287.4,287.43,287.3968,287.42,3246,287.4184,2024-03-20 17:48:00,101,
287.3978,287.44,287.3978,287.42,2603,287.4169,2024-03-20 17:49:00,76,
287.44,287.48,287.435,287.44,1882,287.446,2024-03-20 17:50:00,79,
287.4536,287.48,287.44,287.44,3968,287.4565,2024-03-20 17:51:00,111,
287.435,287.44,287.32,287.32,5513,287.397,2024-03-20 17:52:00,114,
287.37,287.37,287.34,287.34,2170,287.3541,2024-03-20 17:53:00,72,
287.315,287.45,287.315,287.45,3257,287.3766,2024-03-20 17:54:00,132,
287.3956,287.435,287.38,287.38,2242,287.397,2024-03-20 17:55:00,75,
287.36,287.36,287.33,287.33,833,287.3489,2024-03-20 17:56:00,50,
287.32,287.3298,287.25,287.25,2830,287.3027,2024-03-20 17:57:00,68,
287.1825,287.19,287.16,287.18,1912,287.174,2024-03-20 17:58:00,76,
287.175,287.175,287.11,287.16,3907,287.1463,2024-03-20 17:59:00,105,
287.2,287.57,287.2,287.4363,6484,287.4383,2024-03-20 18:00:00,300,
287.59,287.96,287.56,287.96,10830,287.7082,2024-03-20 18:01:00,255,
287.96,288.25,287.96,288.01,10145,288.0895,2024-03-20 18:02:00,310,
287.96,288.15,287.94,288.1129,6471,288.0535,2024-03-20 18:03:00,129,
288.1704,288.235,288.08,288.195,3490,288.1597,2024-03-20 18:04:00,102,
288.27,288.54,288.27,288.505,10564,288.4558,2024-03-20 18:05:00,274,
288.4,288.48,288.24,288.4,6025,288.3871,2024-03-20 18:06:00,160,
288.45,288.48,288.09,288.09,3230,288.2518,2024-03-20 18:07:00,127,
288.01,288.13,287.9245,287.99,3986,288.0528,2024-03-20 18:08:00,151,
288.0,288.0,287.6,287.71,4885,287.8056,2024-03-20 18:09:00,157,
287.8,288.0,287.8,287.92,3656,287.9261,2024-03-20 18:10:00,156,
288.06,288.17,288.01,288.05,6192,288.0832,2024-03-20 18:11:00,139,
288.13,288.16,288.04,288.095,3742,288.0773,2024-03-20 18:12:00,113,
288.08,288.08,287.81,287.94,4959,287.9462,2024-03-20 18:13:00,154,
288.02,288.03,287.795,287.96,3889,287.883,2024-03-20 18:14:00,119,
287.93,287.93,287.64,287.87,10143,287.7868,2024-03-20 18:15:00,261,
287.84,287.91,287.77,287.8974,6320,287.8199,2024-03-20 18:16:00,152,
287.8842,287.8842,287.7,287.7,4603,287.819,2024-03-20 18:17:00,92,
287.72,287.925,287.72,287.7259,6935,287.791,2024-03-20 18:18:00,167,
287.76,287.9436,287.735,287.875,4176,287.8357,2024-03-20 18:19:00,109,
287.91,288.02,287.85,287.98,8377,287.9183,2024-03-20 18:20:00,177,
287.98,288.09,287.95,288.09,5412,288.0101,2024-03-20 18:21:00,125,
288.06,288.14,288.05,288.14,1912,288.0733,2024-03-20 18:22:00,89,
288.08,288.08,287.91,287.91,5955,288.0081,2024-03-20 18:23:00,143,
287.925,287.98,287.925,287.95,1815,287.9827,2024-03-20 18:24:00,116,
288.09,288.16,288.03,288.16,3947,288.0741,2024-03-20 18:25:00,130,
288.08,288.12,288.01,288.12,3272,288.0676,2024-03-20 18:26:00,128,
288.1689,288.1689,287.985,288.02,3041,288.1075,2024-03-20 18:27:00,76,
288.0,288.21,288.0,288.21,3964,288.1063,2024-03-20 18:28:00,158,
288.17,288.32,288.17,288.32,3935,288.2277,2024-03-20 18:29:00,163,
288.38,288.43,288.18,288.185,6605,288.2875,2024-03-20 18:30:00,233,
288.15,288.15,287.96,287.96,4945,288.0572,2024-03-20 18:31:00,170,
287.89,288.0,287.85,287.87,6479,287.9356,2024-03-20 18:32:00,200,
287.9,287.9,287.73,287.77,3223,287.8303,2024-03-20 18:33:00,109,
287.7,287.71,287.56,287.57,5034,287.624,2024-03-20 18:34:00,192,
287.5788,287.675,287.46,287.675,7179,287.5635,2024-03-20 18:35:00,200,
287.76,287.955,287.72,287.72,7223,287.8307,2024-03-20 18:36:00,212,
287.66,287.945,287.66,287.945,9318,287.7907,2024-03-20 18:37:00,206,
288.02,288.19,288.01,288.11,5801,288.1198,2024-03-20 18:38:00,177,
288.05,288.135,288.05,288.135,2109,288.1107,2024-03-20 18:39:00,193,
288.135,288.245,288.11,288.16,5849,288.1605,2024-03-20 18:40:00,197,
288.0842,288.45,288.0842,288.45,3697,288.2672,2024-03-20 18:41:00,172,
288.45,288.7,288.435,288.6,6231,288.5428,2024-03-20 18:42:00,208,
288.64,288.65,288.48,288.54,12819,288.5654,2024-03-20 18:43:00,218,
288.37,288.45,288.1265,288.41,7690,288.3273,2024-03-20 18:44:00,233,
288.54,288.69,288.54,288.68,4657,288.5831,2024-03-20 18:45:00,178,
288.76,288.86,288.665,288.8,5538,288.7707,2024-03-20 18:46:00,198,
288.8,288.95,288.78,288.89,6947,288.8689,2024-03-20 18:47:00,236,
288.86,288.975,288.85,288.88,8083,288.9001,2024-03-20 18:48:00,272,
288.91,289.0,288.91,288.92,8806,288.9693,2024-03-20 18:49:00,258,
288.88,288.92,288.775,288.775,8022,288.849,2024-03-20 18:50:00,282,
288.73,288.8338,288.63,288.8023,5606,288.7516,2024-03-20 18:51:00,166,
288.77,288.89,288.77,288.875,5630,288.8491,2024-03-20 18:52:00,213,
288.9,288.93,288.82,288.84,6057,288.8526,2024-03-20 18:53:00,138,
288.835,288.91,288.73,288.85,7811,288.8298,2024-03-20 18:54:00,193,
288.86,289.0,288.86,288.93,18629,288.969,2024-03-20 18:55:00,417,
288.96,288.99,288.69,288.69,8108,288.8809,2024-03-20 18:56:00,253,
288.69,288.83,288.63,288.6829,5966,288.748,2024-03-20 18:57:00,194,
288.76,288.86,288.76,288.81,5514,288.8286,2024-03-20 18:58:00,195,
288.82,288.83,288.68,288.68,4665,288.7411,2024-03-20 18:59:00,187,
288.72,288.77,288.66,288.77,3459,288.7161,2024-03-20 19:00:00,162,
288.71,288.96,288.71,288.83,8608,288.8455,2024-03-20 19:01:00,288,
288.8,288.89,288.75,288.85,8010,288.8104,2024-03-20 19:02:00,211,
288.86,288.93,288.81,288.84,6196,288.8847,2024-03-20 19:03:00,203,
288.79,288.91,288.755,288.91,6552,288.8096,2024-03-20 19:04:00,214,
288.92,289.055,288.89,289.055,35606,288.9755,2024-03-20 19:05:00,656,
289.07,289.11,289.0,289.11,10157,289.0576,2024-03-20 19:06:00,261,
289.08,289.19,289.02,289.18,6728,289.0942,2024-03-20 19:07:00,224,
289.165,289.22,289.1,289.14,7358,289.177,2024-03-20 19:08:00,160,
289.13,289.13,289.01,289.01,6868,289.0729,2024-03-20 19:09:00,188,
289.0,289.1,289.0,289.0693,8669,289.0529,2024-03-20 19:10:00,206,
289.06,289.06,288.87,288.93,6404,288.9514,2024-03-20 19:11:00,170,
288.9,288.97,288.88,288.91,9357,288.9337,2024-03-20 19:12:00,175,
288.89,288.95,288.67,288.68,16464,288.793,2024-03-20 19:13:00,402,
288.72,288.83,288.7,288.73,7620,288.7611,2024-03-20 19:14:00,213,
